date,url,rating,user,opinion
on 4 September 2017,/gp/customer-reviews/R2MKGYDEZ9LURK?ASIN=B01DDP7D6W,4,Mahaveer Prasad,USING FOR LAST 3 MONTHS.SATISFIED WITH PERFORMANCE.
on 24 June 2018,/gp/customer-reviews/RJMFXZXJ7S17A?ASIN=B01DDP7D6W,4,Logesh,compact this one.. function are goodSamsung On7 Pro (Gold)
on 13 January 2017,/gp/customer-reviews/R2MOBM9W5ELUSC?ASIN=B01DDP7D6W,5,murali,Good mobile
on 28 May 2018,/gp/customer-reviews/R1RUJ4VVW1OCVT?ASIN=B01DDP7D6W,1,Onkar Jantre,"Phone started getting hang just after 2-3 months , seems to be like old Samsung smartphone"
on 16 January 2017,/gp/customer-reviews/R29SWG2JRF5SGU?ASIN=B01DDP7D6W,5,Amazon Customer,excellent product of Samsung without hanging and heating.best phone i have ever used.just  love it.
on 3 December 2016,/gp/customer-reviews/R194WP0R1FJ9BO?ASIN=B01DDP7D6W,4,Motilal dehury,varyyyy Good nic-----------pc
on 15 November 2016,/gp/customer-reviews/R26H0836FXOT37?ASIN=B01DDP7D6W,4,vicky,Nice product .working very fine till . I advice everyone to go for it.
on 16 February 2018,/gp/customer-reviews/R3C1GLJ1UAW1G0?ASIN=B01DDP7D6W,1,Amazon Customer,"Ee sarwa bahot hang marat ba... This is poor quality phone made by Samsung, I recommend plz dont buy it."
on 19 August 2018,/gp/customer-reviews/R33I228658TLJW?ASIN=B01DDP7D6W,5,Bhushan yashwant nikure,5 star for on 7 pro......
on 9 July 2018,/gp/customer-reviews/R1FJWS0JLDIX3R?ASIN=B01DDP7D6W,4,Dr m.,Excellent as per expected
date,url,rating,user,opinion
on 5 August 2017,/gp/customer-reviews/RFGX36XAOG0VT?ASIN=B01DDP7D6W,3,Shravan,Its has a basic touch and basic featuresDont expect much .
on 6 April 2018,/gp/customer-reviews/R3R084TKHYTRWB?ASIN=B01DDP7D6W,4,Monu Razz,Very very nic product
on 28 July 2018,/gp/customer-reviews/R27THJ8XEYRVY1?ASIN=B01DDP7D6W,5,Shakil,Worth it
on 16 August 2017,/gp/customer-reviews/RONI33KICMXZM?ASIN=B01DDP7D6W,2,NARENDRA,it takes so much time to fully charged approx 3 and half hours
on 27 April 2018,/gp/customer-reviews/R1RIUZ47GVCF0G?ASIN=B01DDP7D6W,3,Muniraja M,Phone look is good ' but heating issues in this phone.
on 17 October 2017,/gp/customer-reviews/R1T8ZVXO4O1DS5?ASIN=B01DDP7D6W,5,Deepak Singh,I received the product and product is nice.
on 24 January 2018,/gp/customer-reviews/RBJG9J6W6EYKZ?ASIN=B01DDP7D6W,5,Prasenjit Haldar,Good from all angles.
on 16 April 2018,/gp/customer-reviews/R33WLE6XZLUVL5?ASIN=B01DDP7D6W,4,RAJIB MORAN,Very Good Product at a cheep price.No other comparision is there with this device
on 17 August 2018,/gp/customer-reviews/R6X20H8I2NIMS?ASIN=B01DDP7D6W,1,manikanta,It does not contain headset in the box.
on 2 October 2017,/gp/customer-reviews/R1V6WJSVYACISR?ASIN=B01DDP7D6W,4,Amazon Customer,Mobile is good.There is no lagging but camera is not up to the mark when compared with my previous mobile (lenovo k3 note).
date,url,rating,user,opinion
on 25 November 2017,/gp/customer-reviews/R2NUR3HZCANHUL?ASIN=B01DDP7D6W,1,KIDIM INDIA,can be avoided
on 25 November 2016,/gp/customer-reviews/R2KLQYGPMHAEKX?ASIN=B01DDP7D6W,5,Sameer Kumar Bhoi,Good Mobile.
